
Feb 05 00:03:09 huggy LOSTINNETWORK[12708] INFO tmpfile name /home/huggy/dev/LostInNetwork/tmp/tmp1n9c2jcd
Feb 05 00:03:09 huggy LOSTINNETWORK[12708] INFO GET http://cve.mitre.org/data/downloads/allitems.csv.gz
Feb 05 00:03:17 huggy LOSTINNETWORK[12708] INFO decompress cve list
Feb 05 00:03:18 huggy LOSTINNETWORK[12708] INFO write cve list to data/cve.csv.gz
Feb 05 00:03:18 huggy LOSTINNETWORK[12708] INFO opening data/cve.csv.gz
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Table vulncve is empty
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0063
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0157
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0158
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0159
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0160
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0161
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0162
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0222
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0230
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0293
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0415
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0416
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0430
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0445
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0453
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0734
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0775
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0843
Feb 05 00:03:19 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0889
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-0998
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-1000
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-1001
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-1042
Feb 05 00:03:20 huggy LOSTINNETWORK[12708] INFO Add CVE: CVE-1999-1100
